SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-7-2018,Single Family Residential,4015 Jefferson St,Napa,CA,94558,750000,3,2,Napa,2091,7619,2006,42,359,81,Sold,,,http://www.redfin.com/CA/Napa/4015-Jefferson-St-94558/home/12224500,BAREIS,21726956,N,Y,38.3363862,-122.3104416
PAST SALE,December-26-2017,Single Family Residential,4515 Stillson St,Napa,CA,94558,669000,4,2,Napa,1706,5131,1998,85,392,,Sold,,,http://www.redfin.com/CA/Napa/4515-Stillson-St-94558/home/12191924,BAREIS,21716937,N,Y,38.3339756,-122.3261478
PAST SALE,January-5-2018,Single Family Residential,1430 Sycamore St,Napa,CA,94559,782500,2,2,Napa,1381,8289,1948,75,567,,Sold,,,http://www.redfin.com/CA/Napa/1430-Sycamore-St-94559/home/12190576,BAREIS,21721025,N,Y,38.2874244,-122.290505
PAST SALE,February-22-2018,Single Family Residential,26 Casassa Ct,Napa,CA,94558,799000,4,3,Napa,2258,6543,2012,27,354,,Sold,,,http://www.redfin.com/CA/Napa/26-Casassa-Ct-94558/home/40361617,BAREIS,21802619,N,Y,38.3264825,-122.3183029
PAST SALE,February-26-2018,Single Family Residential,6 Montecito Blvd,Napa,CA,94559,840000,2,2,Napa,1316,4273,1941,23,638,,Sold,,,http://www.redfin.com/CA/Napa/6-Montecito-Blvd-94559/home/12191177,BAREIS,21802342,N,Y,38.3017589,-122.273562
PAST SALE,January-5-2018,Single Family Residential,281 Underhill Dr,Napa,CA,94558,629000,4,2.5,Napa,2009,10372,1953,75,313,,Sold,,,http://www.redfin.com/CA/Napa/281-Underhill-Dr-94558/home/12189520,BAREIS,21701637,N,Y,38.2864986,-122.3053702
PAST SALE,March-13-2018,Single Family Residential,,Napa,CA,94558,636500,2,1,,1224,8668,1949,8,520,,Sold,,,http://www.redfin.com/CA/Napa/Undisclosed-address-94558/home/12188624,BAREIS,21801961,N,Y,38.2932613,-122.3110395
PAST SALE,January-2-2018,Single Family Residential,1341 Seminary St,Napa,CA,94558,805000,2,1,Napa,1077,3999,1905,78,747,,Sold,,,http://www.redfin.com/CA/Napa/1341-Seminary-St-94559/home/12187652,BAREIS,21722210,N,Y,38.3003024,-122.2908057
PAST SALE,January-29-2018,Single Family Residential,1 Garfield Ln,Napa,CA,94558,970000,3,1,Napa,1776,56628,1953,51,546,,Sold,,,http://www.redfin.com/CA/Napa/1-Garfield-Ln-94558/home/12203406,BAREIS,21720430,N,Y,38.333546,-122.293584
PAST SALE,February-6-2018,Single Family Residential,1925 Waverly St,Napa,CA,94558,561000,4,2,Napa,1931,9479,1960,43,291,,Sold,,,http://www.redfin.com/CA/Napa/1925-Waverly-St-94558/home/12208659,BAREIS,21800141,N,Y,38.3093817,-122.3068983
PAST SALE,March-16-2018,Single Family Residential,1760 Mckinley Rd,Napa,CA,94558,1714000,1,1.5,Napa,1603,174676,1955,5,1069,,Sold,,,http://www.redfin.com/CA/Napa/1760-McKinley-Rd-94558/home/55522871,BAREIS,21701879,N,Y,38.339782,-122.272304
PAST SALE,February-5-2018,Single Family Residential,101 Mccormick Ct,Napa,CA,94558,794000,4,2.5,Napa,2069,5724,2001,44,384,,Sold,,,http://www.redfin.com/CA/Napa/101-McCormick-Ct-94558/home/12220609,BAREIS,21800939,N,Y,38.3044355,-122.3309018
PAST SALE,,Single Family Residential,4036 Pinot Dr,Napa,CA,94558,730000,4,2.5,,2102,6742,1972,,347,,,,,http://www.redfin.com/CA/Napa/4036-Pinot-Dr-94558/home/12192383,,,N,Y,38.325666,-122.3283999
PAST SALE,January-22-2018,Single Family Residential,1109 Cayetano Dr,Napa,CA,94559,485000,3,1,Napa,1022,6229,1971,58,475,,Sold,,,http://www.redfin.com/CA/Napa/1109-Cayetano-Dr-94559/home/12213477,BAREIS,21723065,N,Y,38.2877938,-122.2674491
